iter	F1	Logloss
0	0.7399665552	0.6902808791
1	0.7493816983	0.687634232
2	0.7462184874	0.6849854191
3	0.7487562189	0.682621679
4	0.751565762	0.6799681798
5	0.7484197219	0.677483837
6	0.7482075074	0.674918329
7	0.744500846	0.6723037988
8	0.7443229605	0.6697456212
9	0.7444210526	0.6672947988
10	0.7444210526	0.6647257521
11	0.745777027	0.6623872514
12	0.7433403805	0.6600350737
13	0.7444021969	0.6580475093
14	0.7441860465	0.6555740542
15	0.7456769296	0.6533433373
16	0.742712294	0.6511990836
17	0.7444021969	0.6488253792
18	0.7463188894	0.6464029117
19	0.7451640034	0.6441532328
20	0.7474832215	0.6420628974
21	0.7443229605	0.6402955255
22	0.7463312369	0.6382836114
23	0.7477968947	0.636039899
24	0.7485331098	0.6342749932
25	0.7493713328	0.6326903114
26	0.7480150439	0.6308381913
27	0.7506276151	0.629083843
28	0.749790795	0.6270916024
29	0.7493713328	0.6247751218
30	0.7507331378	0.6229876301
31	0.751778987	0.6212661974
32	0.7520798669	0.6194045587
33	0.7532251352	0.6177724834
34	0.7518734388	0.6159539441
35	0.7538525614	0.6141517773
36	0.7539616347	0.6124417402
37	0.7550935551	0.6106161752
38	0.7541666667	0.6090569217
39	0.7540574282	0.6070790071
40	0.7543713572	0.6054813745
41	0.7548897212	0.603731889
42	0.7544661404	0.6019829858
43	0.7548897212	0.6005337794
44	0.7554076539	0.5987852269
45	0.7552039967	0.5975247879
46	0.7548897212	0.5960608956
47	0.7555185339	0.5945223723
48	0.7565543071	0.5931274348
49	0.7570480929	0.591849268
50	0.758077879	0.5904788669
51	0.7585062241	0.588953765
52	0.7581916217	0.587640145
53	0.756846473	0.5864029744
54	0.7585062241	0.5852132976
55	0.75695887	0.5837225941
56	0.7577897798	0.5822817759
57	0.7588210876	0.5812062808
58	0.7588210876	0.5796788217
59	0.7593360996	0.5784172607
60	0.7595356551	0.5768431455
61	0.7604815276	0.5755619535
62	0.7606802157	0.5741692888
63	0.7618257261	0.5729203368
64	0.7613117476	0.5717164513
